name,address,city,state,postal_code,latitude,longitude,google_place_id
GIRALDA BAKERY,1035 EAST  163 STREET,Bronx,NY,10459,40.820992860827,-73.891316071168,ChIJ_R9a06r1wokR9baRHPiYyV0
VILLA RUSSO,11816 101 AVENUE,Queens,NY,11419,40.689760354311,-73.826624463472,ChIJRz45RExnwokR4FbnRov6k1w
JOHN'S PIZZA,260 WEST   44 STREET,Manhattan,NY,10036,40.7581174832,-73.987896951475,ChIJBSESh1RYwokRyHcVnrG7JWo
PAUL & JIMMY'S RESTAURANT,123 EAST   18 STREET,Manhattan,NY,10003,40.736601231362,-73.987283830274,ChIJ0-oxwqFZwokRv2bn1QLckaQ
THINK SWEET CAFE,546 KINGS HIGHWAY,Brooklyn,NY,11223,40.604505473734,-73.969353101067,ChIJo0meJvBEwokRHeHCCwwiqDE
THE ORIGINAL PIZZA OF AVENUE L,9514 AVENUE L,Brooklyn,NY,11236,40.637787369869,-73.896641916373,ChIJTR76lNtcwokRh-ITxr2uBnE
BALLATO'S RESTAURANT,55 EAST HOUSTON STREET,Manhattan,NY,10012,40.724716960505,-73.994292457663,ChIJRQqJgYVZwokRfJB16sxh1Pg
STARBUCKS,2045 BROADWAY,Manhattan,NY,10023,40.77758807648,-73.982408780007,ChIJfwE5eopYwokRt2AvXbJGTXA
STARBUCKS COFFEE #7358,50 COURT STREET,Brooklyn,NY,11201,40.6923065143,-73.991100290211,ChIJAX-UKUlawokRv3w8InaZxjE
MAZ MEZCAL,316 EAST   86 STREET,Manhattan,NY,10028,40.777595486801,-73.951122253185,ChIJUSC2q7tYwokR2EsSD3qqoT4
BONO'S CAFE,35 EAST   28 STREET,Manhattan,NY,10016,40.743836187896,-73.985283146066,ChIJEcaDvKdZwokRb9ADmda5I1w
EMPORIUM BRASIL RESTAURANT,15 WEST   46 STREET,Manhattan,NY,10036,40.756370681348,-73.979826377019,ChIJDZ1RUv5YwokRSv4ITcDXeKE
KENNEDY CHICKEN & BURGERS,2158 8 AVENUE,Manhattan,NY,10026,40.804720751165,-73.955129810993,ChIJLZBnZQD3wokRDlHh8F8yaKg
LECHON HORNADO ECUATORIANO,7618 ROOSEVELT AVENUE,Queens,NY,11372,40.747050017419,-73.889322281844,ChIJxSmC_alfwokRS8JYZcYzDjI
WAYS AND MEANS,167 BLEECKER STREET,Manhattan,NY,10012,40.728702502682,-74.000241737228,ChIJHzLX85FZwokRxM9KZpgq6Qk
GLENDALE BAKESHOP & CAFE,69-25 GRAND AVENUE,Queens,NY,11378,40.726397831372,-73.894548475485,ChIJY7mXCvRewokRZCZ-4Me8POg
LENNY & JOHN'S PIZZA,2036 FLATBUSH AVENUE,Brooklyn,NY,11234,40.62027877808,-73.934376299286,ChIJq84YjVdDwokReMwWNzpN54w
NEW CAPITAL RESTAURANT,2 WEST KINGSBRIDGE ROAD,Bronx,NY,10468,40.867491709514,-73.89757427806,ChIJS9YlNYTzwokRchV0wvoSNjs
CASANOVA RESTAURANT,338 MC GUINESS BOULEVARD,Brooklyn,NY,11222,40.734088784165,-73.952276474843,ChIJ58ZLPTlZwokR8xX47wFKjug
N.Y. LIFE EXECUTIVE DINING ROOM .,51 MADISON AVENUE,Manhattan,NY,10010,40.743015641993,-73.986402054932,ChIJDw5pE-lYwokRFRmO4AFLAKU
ZARO'S BREAD BASKET,89 EAST   42 STREET,Manhattan,NY,10017,40.752093933162,-73.977604354379,ChIJR9legAFZwokRor4YJXo0PQg
GENESIS # 1 WEST INDIAN,16223 HILLSIDE AVENUE,Queens,NY,11432,40.708524120217,-73.799941899361,
BROADWAY BAGEL,2658 BROADWAY,Manhattan,NY,10025,40.797734597388,-73.969513012806,ChIJpWLW2CX2wokR_tQVTsXJoio
PERFECTO PIZZA & COFFEE SHOP,16923 JAMAICA AVE,Queens,NY,11432,40.706961909677,-73.790478632437,ChIJu7FI5CFhwokRLdbetg78N1o
DUNKIN,4513 QUEENS BOULEVARD,Queens,NY,11104,40.743240660189,-73.91940807304,ChIJNX5YKNlewokR36jLUg_EFkA
STARBUCKS,540 COLUMBUS AVENUE,Manhattan,NY,10024,40.78658608086,-73.972107344375,ChIJc-boxoRYwokRE-Y7u5zadCI
STARBUCKS COFFEE,757 3 AVENUE,Manhattan,NY,10017,40.754027772142,-73.972056060847,ChIJHTUgTv1YwokRWmpZQ73rMB0
MCLOUGHLINS BAR,3106 BROADWAY,Queens,NY,11106,40.761887022838,-73.925233339452,ChIJj-fdTDdfwokRUl86TRztONA
GINO'S PIZZERIA,15846 CROSSBAY BOULEVARD,Queens,NY,11414,40.660040241758,-73.84009917615,ChIJ1Wmna35nwokRTaAs8qAaCok
CIRO'S PIZZA,11319 BEACH CHANNEL DRIVE,Queens,NY,11694,40.582403684392,-73.836070066532,ChIJOw31kCtowokRGiVoXpcWtRM
CONNECTICUT MUFFIN,206 PROSPECT PARK WEST,Brooklyn,NY,11215,40.660814323358,-73.980129315998,ChIJz9Nh1R1bwokRn3fDnd6meAI
STARBUCKS,195 BROADWAY,Manhattan,NY,10007,40.710529012969,-74.009378280217,ChIJ8wQjtRlawokRZiim_x9YpZE
101 DELI,10016 ROCKAWAY BEACH BOULEVARD,Queens,NY,11694,40.583655530006,-73.821536740421,ChIJCRva1TlowokR9DvO4PhcjOQ
LOVELL'S GUIDING LIGHT,148-33 HILLSIDE AVENUE,Queens,NY,11435,40.70617769435,-73.808183300978,ChIJnzAZQcNgwokRs2JCmYHtiJo
PUMPS EXOTIC BAR,1077 GRAND STREET,Brooklyn,NY,11211,40.713910441217,-73.932739871011,ChIJoUVqY6xewokR5P3AEUIE1kM
THE OTHEROOM,143 PERRY STREET,Manhattan,NY,10014,40.734872456791,-74.007985286781,ChIJwfjyaetZwokRTDXEUa-gpOQ
MCDONALD'S,1515 WILLIAMSBRIDGE ROAD,Bronx,NY,10461,40.844763407621,-73.846553221222,ChIJy6Gp8630wokRSF3yfbD46rw
BOWLMOR CHELSEA PIERS,60 CHELSEA PIERS,Manhattan,NY,10011,40.747992386672,-74.008495743918,ChIJhXLJVXJZwokRwgRF71i8vIc
KRISPY PIZZA,7112 13 AVENUE,Brooklyn,NY,11228,40.622449373508,-74.005201652678,ChIJFXKydz9FwokRnHG_4a9z8Gc
SALTY DOG RESTAURANT,7509 3 AVENUE,Brooklyn,NY,11209,40.631306268849,-74.02784191689,ChIJEdFITlhFwokRXjI1Gakz_UE
FLUTE,205 WEST   54 STREET,Manhattan,NY,10019,40.763729700193,-73.981744618591,ChIJtXbbE_hYwokRVKra_u0D18s
S S CALABRO PIZZERIA,3065 14 STREET,Queens,NY,11102,40.769356440222,-73.931105987025,ChIJ1yo-OkpfwokRRC55Uk5hr4g
XTRA CHEESE PIZZERIA,14720 NORTHERN BOULEVARD,Queens,NY,11354,40.765158565992,-73.819088286458,ChIJ07UBCiJgwokReeuALFCHd-g
THE ORIGINAL PIZZA OF 4TH AVE,6823 4 AVENUE,Brooklyn,NY,11220,40.635092336041,-74.023311006826,ChIJiZH02FBFwokRvg3o3BcVVFg
MY LITTLE PIZZERIA,114 COURT STREET,Brooklyn,NY,11201,40.69017664618,-73.992139082168,ChIJTyK6BE9awokRNOIL14CDL2M
LA GOURMET,111 EAST   58 STREET,Manhattan,NY,10022,40.762006158224,-73.969583577219,ChIJP2AYb-VYwokRMPO71PgAo9A
MAGGIE MAYS,21422 41 AVENUE,Queens,NY,11361,40.763660877947,-73.770499110388,ChIJCe-kGeBhwokRqk95Twyj0OU
DUNKIN,6040 MYRTLE AVENUE,Queens,NY,11385,40.700607134992,-73.896652342481,ChIJsYMCDClcwokRGxp8NomXdoo
GYRO KING,2450 WALTON AVENUE,Bronx,NY,10468,40.861985662316,-73.900565396482,ChIJ4ayQ5IfzwokRbXwJRXtr004
RICK'S CAFE,147 WEST   43 STREET,Manhattan,NY,10036,40.756014630206,-73.984807600074,ChIJ-8NJ4v9YwokRpJPqS7irtbw
NEW YORKER HOTEL KITCHEN,481 8 AVENUE,Manhattan,NY,10001,40.752288062254,-73.9934021983,ChIJKxW9qbVZwokRdp--o2I-RTE
POLLOS A LA BARASA MARIO,40-19 BROADWAY,Queens,NY,11103,40.758871630062,-73.918771835688,ChIJF8BDeDxfwokR82j-ZnANMWk
CAFFE' ROMEO,7111 20 AVENUE,Brooklyn,NY,11204,40.612987738798,-73.989515334813,ChIJEcRrVxlFwokRD9e525dbKfM
STROMBOLI PIZZA,83 ST MARKS PLACE,Manhattan,NY,10003,40.727746426494,-73.985647509709,ChIJ8XbkBJ1ZwokRoDhPSeOCJHE
TONY'S BRICK OVEN,1140 BAY STREET,Staten Island,NY,10305,40.615309888749,-74.067052340049,ChIJoXOSaq9PwokR_QCaSJLVGg4
BASSETT CATERERS,1404 AVENUE X,Brooklyn,NY,11235,40.592105625364,-73.955906936162,ChIJAQSPxWFEwokRegMjFjMYEno
BOTANICA BAR,47 EAST HOUSTON STREET,Manhattan,NY,10012,40.724821275803,-73.994584681095,ChIJuz7Sf3nzwokRcCNO5pFxH6s
FERRARA'S,195 GRAND STREET,Manhattan,NY,10013,40.719202825851,-73.99699134326,ChIJTy8URohZwokRB9YYYDHYBKM
CAFFE PALERMO,148 MULBERRY STREET,Manhattan,NY,10013,40.718928360738,-73.997474758979,ChIJu6AxSohZwokR-C-gCJcQewI
LE RIVAGE,340 WEST   46 STREET,Manhattan,NY,10036,40.760299693312,-73.989167180685,ChIJP9968FNYwokRluXA9d7952g
LA BRUSCHETTA,256 7 AVENUE,Brooklyn,NY,11215,40.669172094594,-73.979687032616,ChIJI65DfmZbwokR6hDBiJ-7zJg
ALADDIN,2906 36 AVENUE,Queens,NY,11106,40.7572466229,-73.931201580543,ChIJkYuIpTVfwokRqcdrhuzJ4_Y
LA CANDELA ESPANOLA,3923 AMBOY ROAD,Staten Island,NY,10308,40.551525701455,-74.14919032364,ChIJjZKYPLhLwokR0nRmz1ON7zU
SOBAYA,229 EAST    9 STREET,Manhattan,NY,10003,40.72962414296,-73.988255737229,ChIJVUXabZxZwokRh-_g7s0HxVI
EL TINA FISH MARKET & SEAFOOD RESTAURANT,500 WEST  207 STREET,Manhattan,NY,10034,40.864459392694,-73.918974987265,ChIJa2vi4wn0wokRL9VW89mXQJc
STARBUCKS,462 7 AVENUE,Manhattan,NY,10018,40.751747104858,-73.990074503944,ChIJY7SYAqxZwokRwEv7sazo7k0
STARBUCKS,444 COLUMBUS AVENUE,Manhattan,NY,10024,40.783476805391,-73.974376358687,ChIJNdrngIVYwokROB8P36lXctU
STARBUCKS,2505 RICHMOND AVENUE,Staten Island,NY,10314,40.587110213308,-74.168258345497,ChIJ3TEo9H5MwokRXzJ1dhknM54
STARBUCKS #7378,10 UNION SQUARE EAST,Manhattan,NY,10003,40.734696627418,-73.989925503095,
ROSSVILLE PIZZERIA,960 BLOOMINGDALE ROAD,Staten Island,NY,10309,40.549279701971,-74.220921016917,ChIJVW_9Xiq1w4kR4OXpsBkvclA
