camis,foursquare_fsq_id,google_place_id
40369669,4bd3b74eb221c9b6a980dad0,ChIJzVAe2FzzwokR38h1ZOp2knk
40369675,4b01e580f964a5205e4622e3,ChIJI2zQCdlewokRYS7uZ4fWzng
40369716,62371b8509c5a26091f79da8,ChIJH5K_GVxawokRSbTRZ6HvvWs
40369782,4c1a4e718b3aa593a45f955f,ChIJn97efZxcwokRrPCpHynXomE
40369878,4b5210cbf964a5202f6527e3,ChIJdTlCDJJZwokRsWk0mTd4oV8
40369958,3fd66200f964a5207ee71ee3,ChIJY8nVpQJZwokR1SyYE-gyalA
40369983,4b579c0df964a520623928e3,ChIJP5_rtOhgwokRRW-4AhSb5nM
40370015,3fd66200f964a520f7e81ee3,ChIJxRbhJZbmXIgRXq5i2VErjJ4
40370150,4c1dba9db9f876b01b2a7e46,ChIJC8pPQODywokR2zkDrjPHrMs
40370167,4b6f679ff964a52029ef2ce3,ChIJQT_ES_1hwokRXmM8dTJHBa8
40370168,3fd66200f964a52071e61ee3,ChIJtSjFCfNZwokRMW-KSzp4o4c
40370436,4b3c0273f964a520488025e3,ChIJV6mJyQZZwokRPoUsJJjsgoI
40370463,4b59b4fdf964a520e79328e3,ChIJaeIHjZRYwokRyAKp5S2vpe0
40370766,3fd66200f964a52041eb1ee3,ChIJSRfEz-JYwokRJPv5jzaGA0k
40370781,4a5ca657f964a5205cbc1fe3,ChIJ_eytEI-KwokRgdGe285gQBI
40370856,3fd66200f964a52051e61ee3,ChIJmzPYgJFZwokRUX8NSi3feBk
40370939,4f74ff83e4b09b101271b89b,ChIJEz0N7yVZwokRKrOYsmXkKSY
40371454,461f8cc8f964a5207e451fe3,ChIJByRB9FJYwokR7fTtYijEqGE
40371614,4b428a19f964a52002d625e3,ChIJmf02Qe6JwokRSuKrC18NEQU
40371684,4be33c72b02ec9b682f24ec0,ChIJeyOpjilFwokRcOe1YiPD_iU
40371718,4b1fd5bbf964a520902924e3,ChIJzYPwsSpawokRJAJtH0MuXfM
40371727,4c0b017aa1b32d7f1d6d9af0,ChIJW0BC3-NEwokRCcguDYS9UbI
40371906,4cf063826195721ed0453bc1,ChIJeVGvJ15DwokRVs0b55GcWvw
40371988,4bbe888a98f495218d77d163,ChIJkZVDctBhwokRzCch6yQvmsY
40372112,4b6f03f5f964a52004d72ce3,ChIJhReR7FhFwokR8bS-WjMXqk0
40372196,4b86ec9ff964a5202da631e3,ChIJb3v9xT6LwokRbhaa8NVdPOo
40372262,4a5126eaf964a520aeb01fe3,ChIJ68rGN5VZwokR6cCbimuf1uY
40372357,4ba4ff31f964a5201cce38e3,ChIJ0VbzEMxLwokRXwhbOPUmO14
40372417,4b50d9c0f964a520393527e3,ChIJ5Qe7Jb5YwokRCxZzLKCneyQ
40372422,4b6558d7f964a52005ee2ae3,ChIJXWFpxElewokR-1jMXgfL8rM
40372445,4ad17c3cf964a5208bde20e3,ChIJfyz9BjpfwokR3brlHg5PscA
40372466,4c812dd9d22d199c4096dd93,ChIJFVWAmflYwokRdnX3IwqbR20
40372485,de72ecffce2f1dbbc07d6250,ChIJ84HElXxDwokRFhUC8X-xK1w
40372596,4b7da021f964a520a1ca2fe3,ChIJYzVu0H9cwokRsqEK1N7Mcfg
40372618,4bb0980bf964a520264e3ce3,ChIJe6wP68JmwokRaaR36lpXgKs
40372631,4b23f2a0f964a520855d24e3,ChIJ3wNnje_0wokRUNuFVkXL1NE
40372971,4b2046fbf964a520da2f24e3,ChIJPSIyYvtYwokRjk8biwa59Ug
40373113,4a9819d5f964a520782a20e3,ChIJTcpq6_lYwokR4lHaYlpg-Jk
40373118,4b6cfcacf964a520b5612ce3,ChIJe1xfzqBLwokRscB_tQj2bqA
40373160,4b281bd5f964a520238f24e3,ChIJ-0hC1yhbwokRZx27JHCZlZY
40373462,4afa15d8f964a520931622e3,ChIJe14KpQdZwokReRadKUwTRSM
40373500,458976f5f964a520dd3f1fe3,ChIJv6RszFdYwokR-moeAHqLAhM
40373597,4baa4e94f964a520415d3ae3,ChIJYQmOXFhFwokRfjbnjkTqyfw
40373656,3fd66200f964a52042e31ee3,ChIJ5804KalZwokRzGll2Rm7nag
40373669,5a303b5e9411f2356ca3b44e,ChIJE5h5cQZZwokR-Gi2BfLvPvg
40373888,49ff2b51f964a520e86f1fe3,ChIJhWUUopFZwokR-uGjV8FCLNQ
